t,n
01/01/2004 00:00:00,5
01/01/2004 01:00:00,8
01/01/2004 02:00:00,8
01/01/2004 03:00:00,8
01/01/2004 04:00:00,0
01/01/2004 05:00:00,3
01/01/2004 06:00:00,5
01/01/2004 07:00:00,6
01/01/2004 08:00:00,4
01/01/2004 09:00:00,13
01/01/2004 10:00:00,21
01/01/2004 11:00:00,20
01/01/2004 12:00:00,31
01/01/2004 13:00:00,21
01/01/2004 14:00:00,16
01/01/2004 15:00:00,17
01/01/2004 16:00:00,12
01/01/2004 17:00:00,13
01/01/2004 18:00:00,27
01/01/2004 19:00:00,27
01/01/2004 20:00:00,12
01/01/2004 21:00:00,10
01/01/2004 22:00:00,12
01/01/2004 23:00:00,9
02/01/2004 00:00:00,8
02/01/2004 01:00:00,7
02/01/2004 02:00:00,6
02/01/2004 03:00:00,4
02/01/2004 04:00:00,5
02/01/2004 05:00:00,1
02/01/2004 06:00:00,2
02/01/2004 07:00:00,4
02/01/2004 08:00:00,9
02/01/2004 09:00:00,17
02/01/2004 10:00:00,23
02/01/2004 11:00:00,19
02/01/2004 12:00:00,29
02/01/2004 13:00:00,20
02/01/2004 14:00:00,15
02/01/2004 15:00:00,17
02/01/2004 16:00:00,19
02/01/2004 17:00:00,13
02/01/2004 18:00:00,10
02/01/2004 19:00:00,10
02/01/2004 20:00:00,10
02/01/2004 21:00:00,7
02/01/2004 22:00:00,14
02/01/2004 23:00:00,11
03/01/2004 00:00:00,16
03/01/2004 01:00:00,5
03/01/2004 02:00:00,3
03/01/2004 03:00:00,6
03/01/2004 04:00:00,6
03/01/2004 05:00:00,8
03/01/2004 06:00:00,2
03/01/2004 07:00:00,7
03/01/2004 08:00:00,14
03/01/2004 09:00:00,10
03/01/2004 10:00:00,13
03/01/2004 11:00:00,18
03/01/2004 12:00:00,15
03/01/2004 13:00:00,13
03/01/2004 14:00:00,12
03/01/2004 15:00:00,10
03/01/2004 16:00:00,9
03/01/2004 17:00:00,13
03/01/2004 18:00:00,17
03/01/2004 19:00:00,29
03/01/2004 20:00:00,21
03/01/2004 21:00:00,21
03/01/2004 22:00:00,15
03/01/2004 23:00:00,11
04/01/2004 00:00:00,17
04/01/2004 01:00:00,9
04/01/2004 02:00:00,4
04/01/2004 03:00:00,2
04/01/2004 04:00:00,1
04/01/2004 05:00:00,4
04/01/2004 06:00:00,4
04/01/2004 07:00:00,5
