Date,Holiday Name
2000-04-19,Pesach Eve
2000-04-20,Pesach
2000-04-25,7th of Pesach Eve
2000-04-26,7th of Pesach
2000-05-09,Independence Day Eve
2000-05-10,Independence Day
2000-06-08,Shavout Eve
2000-06-09,Shavout
2000-09-29,Rosh Hashana Eve
2000-09-30,Rosh Hashana
2000-10-01,Rosh Hashana
2000-10-08,Yom Kippur Eve
2000-10-09,Yom Kippur
2000-10-13,Sukkot Eve
2000-10-14,Sukkot
2000-10-20,Shmini Atzeres Eve
2000-10-21,Shmini Atzeres
2001-04-07,Pesach Eve
2001-04-08,Pesach
2001-04-13,7th of Pesach Eve
2001-04-14,7th of Pesach
2001-04-25,Independence Day Eve
2001-04-26,Independence Day
2001-05-27,Shavout Eve
2001-05-28,Shavout
2001-09-17,Rosh Hashana Eve
2001-09-18,Rosh Hashana
2001-09-19,Rosh Hashana
2001-09-26,Yom Kippur Eve
2001-09-27,Yom Kippur
2001-10-01,Sukkot Eve
2001-10-02,Sukkot
2001-10-08,Shmini Atzeres Eve
2001-10-09,Shmini Atzeres
2002-03-27,Pesach Eve
2002-03-28,Pesach
2002-04-02,7th of Pesach Eve
2002-04-03,7th of Pesach
2002-04-16,Independence Day Eve
2002-04-17,Independence Day
2002-05-16,Shavout Eve
2002-05-17,Shavout
2002-09-06,Rosh Hashana Eve
2002-09-07,Rosh Hashana
2002-09-08,Rosh Hashana
2002-09-15,Yom Kippur Eve
2002-09-16,Yom Kippur
2002-09-20,Sukkot Eve
2002-09-21,Sukkot
2002-09-27,Shmini Atzeres Eve
2002-09-28,Shmini Atzeres
2003-04-16,Pesach Eve
2003-04-17,Pesach
2003-04-22,7th of Pesach Eve
2003-04-23,7th of Pesach
2003-05-06,Independence Day Eve
2003-05-07,Independence Day
2003-06-05,Shavout Eve
2003-06-06,Shavout
2003-09-26,Rosh Hashana Eve
2003-09-27,Rosh Hashana
2003-09-28,Rosh Hashana
2003-10-05,Yom Kippur Eve
2003-10-06,Yom Kippur
2003-10-10,Sukkot Eve
2003-10-11,Sukkot
2003-10-17,Shmini Atzeres Eve
2003-10-18,Shmini Atzeres
2004-04-05,Pesach Eve
2004-04-06,Pesach
2004-04-11,7th of Pesach Eve
2004-04-12,7th of Pesach
2004-04-26,Independence Day Eve
2004-04-27,Independence Day
2004-05-25,Shavout Eve
2004-05-26,Shavout
2004-09-15,Rosh Hashana Eve
2004-09-16,Rosh Hashana
2004-09-17,Rosh Hashana
2004-09-24,Yom Kippur Eve
2004-09-25,Yom Kippur
2004-09-29,Sukkot Eve
2004-09-30,Sukkot
2004-10-06,Shmini Atzeres Eve
2004-10-07,Shmini Atzeres
2005-04-23,Pesach Eve
2005-04-24,Pesach
2005-04-29,7th of Pesach Eve
2005-04-30,7th of Pesach
2005-05-11,Independence Day Eve
2005-05-12,Independence Day
2005-06-12,Shavout Eve
2005-06-13,Shavout
2005-10-03,Rosh Hashana Eve
2005-10-04,Rosh Hashana
2005-10-05,Rosh Hashana
2005-10-12,Yom Kippur Eve
2005-10-13,Yom Kippur
2005-10-17,Sukkot Eve
2005-10-18,Sukkot
2005-10-24,Shmini Atzeres Eve
2005-10-25,Shmini Atzeres
2006-04-12,Pesach Eve
2006-04-13,Pesach
2006-04-18,7th of Pesach Eve
2006-04-19,7th of Pesach
2006-05-02,Independence Day Eve
2006-05-03,Independence Day
2006-06-01,Shavout Eve
2006-06-02,Shavout
2006-09-22,Rosh Hashana Eve
2006-09-23,Rosh Hashana
2006-09-24,Rosh Hashana
2006-10-01,Yom Kippur Eve
2006-10-02,Yom Kippur
2006-10-06,Sukkot Eve
2006-10-07,Sukkot
2006-10-13,Shmini Atzeres Eve
2006-10-14,Shmini Atzeres
2007-04-02,Pesach Eve
2007-04-03,Pesach
2007-04-08,7th of Pesach Eve
2007-04-09,7th of Pesach
2007-04-23,Independence Day Eve
2007-04-24,Independence Day
2007-05-22,Shavout Eve
2007-05-23,Shavout
2007-09-12,Rosh Hashana Eve
2007-09-13,Rosh Hashana
2007-09-14,Rosh Hashana
2007-09-21,Yom Kippur Eve
2007-09-22,Yom Kippur
2007-09-26,Sukkot Eve
2007-09-27,Sukkot
2007-10-03,Shmini Atzeres Eve
2007-10-04,Shmini Atzeres
2008-04-19,Pesach Eve
2008-04-20,Pesach
2008-04-25,7th of Pesach Eve
2008-04-26,7th of Pesach
2008-05-07,Independence Day Eve
2008-05-08,Independence Day
2008-06-08,Shavout Eve
2008-06-09,Shavout
2008-09-29,Rosh Hashana Eve
2008-09-30,Rosh Hashana
2008-10-01,Rosh Hashana
2008-10-08,Yom Kippur Eve
2008-10-09,Yom Kippur
2008-10-13,Sukkot Eve
2008-10-14,Sukkot
2008-10-20,Shmini Atzeres Eve
2008-10-21,Shmini Atzeres
2009-04-08,Pesach Eve
2009-04-09,Pesach
2009-04-14,7th of Pesach Eve
2009-04-15,7th of Pesach
2009-04-28,Independence Day Eve
2009-04-29,Independence Day
2009-05-28,Shavout Eve
2009-05-29,Shavout
2009-09-18,Rosh Hashana Eve
2009-09-19,Rosh Hashana
2009-09-20,Rosh Hashana
2009-09-27,Yom Kippur Eve
2009-09-28,Yom Kippur
2009-10-02,Sukkot Eve
2009-10-03,Sukkot
2009-10-09,Shmini Atzeres Eve
2009-10-10,Shmini Atzeres
2010-03-29,Pesach Eve
2010-03-30,Pesach
2010-04-04,7th of Pesach Eve
2010-04-05,7th of Pesach
2010-04-19,Independence Day Eve
2010-04-20,Independence Day
2010-05-18,Shavout Eve
2010-05-19,Shavout
2010-09-08,Rosh Hashana Eve
2010-09-09,Rosh Hashana
2010-09-10,Rosh Hashana
2010-09-17,Yom Kippur Eve
2010-09-18,Yom Kippur
2010-09-22,Sukkot Eve
2010-09-23,Sukkot
2010-09-29,Shmini Atzeres Eve
2010-09-30,Shmini Atzeres
2011-04-18,Pesach Eve
2011-04-19,Pesach
2011-04-24,7th of Pesach Eve
2011-04-25,7th of Pesach
2011-05-09,Independence Day Eve
2011-05-10,Independence Day
2011-06-07,Shavout Eve
2011-06-08,Shavout
2011-09-28,Rosh Hashana Eve
2011-09-29,Rosh Hashana
2011-09-30,Rosh Hashana
2011-10-07,Yom Kippur Eve
2011-10-08,Yom Kippur
2011-10-12,Sukkot Eve
2011-10-13,Sukkot
2011-10-19,Shmini Atzeres Eve
2011-10-20,Shmini Atzeres
2012-04-06,Pesach Eve
2012-04-07,Pesach
2012-04-12,7th of Pesach Eve
2012-04-13,7th of Pesach
2012-04-25,Independence Day Eve
2012-04-26,Independence Day
2012-05-26,Shavout Eve
2012-05-27,Shavout
2012-09-16,Rosh Hashana Eve
2012-09-17,Rosh Hashana
2012-09-18,Rosh Hashana
2012-09-25,Yom Kippur Eve
2012-09-26,Yom Kippur
2012-09-30,Sukkot Eve
2012-10-01,Sukkot
2012-10-07,Shmini Atzeres Eve
2012-10-08,Shmini Atzeres
2013-03-25,Pesach Eve
2013-03-26,Pesach
2013-03-31,7th of Pesach Eve
2013-04-01,7th of Pesach
2013-04-15,Independence Day Eve
2013-04-16,Independence Day
2013-05-14,Shavout Eve
2013-05-15,Shavout
2013-09-04,Rosh Hashana Eve
2013-09-05,Rosh Hashana
2013-09-06,Rosh Hashana
2013-09-13,Yom Kippur Eve
2013-09-14,Yom Kippur
2013-09-18,Sukkot Eve
2013-09-19,Sukkot
2013-09-25,Shmini Atzeres Eve
2013-09-26,Shmini Atzeres
2014-04-14,Pesach Eve
2014-04-15,Pesach
2014-04-20,7th of Pesach Eve
2014-04-21,7th of Pesach
2014-05-05,Independence Day Eve
2014-05-06,Independence Day
2014-06-03,Shavout Eve
2014-06-04,Shavout
2014-09-24,Rosh Hashana Eve
2014-09-25,Rosh Hashana
2014-09-26,Rosh Hashana
2014-10-03,Yom Kippur Eve
2014-10-04,Yom Kippur
2014-10-08,Sukkot Eve
2014-10-09,Sukkot
2014-10-15,Shmini Atzeres Eve
2014-10-16,Shmini Atzeres
2015-04-03,Pesach Eve
2015-04-04,Pesach
2015-04-09,7th of Pesach Eve
2015-04-10,7th of Pesach
2015-04-22,Independence Day Eve
2015-04-23,Independence Day
2015-05-23,Shavout Eve
2015-05-24,Shavout
2015-09-13,Rosh Hashana Eve
2015-09-14,Rosh Hashana
2015-09-15,Rosh Hashana
2015-09-22,Yom Kippur Eve
2015-09-23,Yom Kippur
2015-09-27,Sukkot Eve
2015-09-28,Sukkot
2015-10-04,Shmini Atzeres Eve
2015-10-05,Shmini Atzeres
2016-04-22,Pesach Eve
2016-04-23,Pesach
2016-04-28,7th of Pesach Eve
2016-04-29,7th of Pesach
2016-05-11,Independence Day Eve
2016-05-12,Independence Day
2016-06-11,Shavout Eve
2016-06-12,Shavout
2016-10-02,Rosh Hashana Eve
2016-10-03,Rosh Hashana
2016-10-04,Rosh Hashana
2016-10-11,Yom Kippur Eve
2016-10-12,Yom Kippur
2016-10-16,Sukkot Eve
2016-10-17,Sukkot
2016-10-23,Shmini Atzeres Eve
2016-10-24,Shmini Atzeres
2017-04-10,Pesach Eve
2017-04-11,Pesach
2017-04-16,7th of Pesach Eve
2017-04-17,7th of Pesach
2017-05-01,Independence Day Eve
2017-05-02,Independence Day
2017-05-30,Shavout Eve
2017-05-31,Shavout
2017-09-20,Rosh Hashana Eve
2017-09-21,Rosh Hashana
2017-09-22,Rosh Hashana
2017-09-29,Yom Kippur Eve
2017-09-30,Yom Kippur
2017-10-04,Sukkot Eve
2017-10-05,Sukkot
2017-10-11,Shmini Atzeres Eve
2017-10-12,Shmini Atzeres
2018-03-30,Pesach Eve
2018-03-31,Pesach
2018-04-05,7th of Pesach Eve
2018-04-06,7th of Pesach
2018-04-18,Independence Day Eve
2018-04-19,Independence Day
2018-05-19,Shavout Eve
2018-05-20,Shavout
2018-09-09,Rosh Hashana Eve
2018-09-10,Rosh Hashana
2018-09-11,Rosh Hashana
2018-09-18,Yom Kippur Eve
2018-09-19,Yom Kippur
2018-09-23,Sukkot Eve
2018-09-24,Sukkot
2018-09-30,Shmini Atzeres Eve
2018-10-01,Shmini Atzeres
2019-04-19,Pesach Eve
2019-04-20,Pesach
2019-04-25,7th of Pesach Eve
2019-04-26,7th of Pesach
2019-05-08,Independence Day Eve
2019-05-09,Independence Day
2019-06-08,Shavout Eve
2019-06-09,Shavout
2019-09-29,Rosh Hashana Eve
2019-09-30,Rosh Hashana
2019-10-01,Rosh Hashana
2019-10-08,Yom Kippur Eve
2019-10-09,Yom Kippur
2019-10-13,Sukkot Eve
2019-10-14,Sukkot
2019-10-20,Shmini Atzeres Eve
2019-10-21,Shmini Atzeres
2020-04-08,Pesach Eve
2020-04-09,Pesach
2020-04-14,7th of Pesach Eve
2020-04-15,7th of Pesach
2020-04-28,Independence Day Eve
2020-04-29,Independence Day
2020-05-28,Shavout Eve
2020-05-29,Shavout
2020-09-18,Rosh Hashana Eve
2020-09-19,Rosh Hashana
2020-09-20,Rosh Hashana
2020-09-27,Yom Kippur Eve
2020-09-28,Yom Kippur
2020-10-02,Sukkot Eve
2020-10-03,Sukkot
2020-10-09,Shmini Atzeres Eve
2020-10-10,Shmini Atzeres
